,comment,class_label
161,"Zmenil by som hlavne stránku predmetu, kde nám hovorili, že nájdeme všetky prezentácie a podobne a nakoniec žiadna taká stránka nebola dostupná.",-1
794,"vela zaujimavych informacii, dobre podanych",1
481,Odporucam hlavne kvoli zaujimavim a praktickym cviceniam.,1
327,"Je to fajn predmet, veľmi prospešný na vybratie diplomovej práce.",1
2929,"Predmet bol odprednášaný veľmi zlým spôsobom (prednášajúceho nebolo dobre počuť, na prednáškach v podstate iba čítal čo bolo v prezentáciách čo si viem prečítať aj doma), že sa skutočne naň neoplatilo chodiť. Pritom verím, že v sebe zahŕňa skutočne to čo je v praxi treba a nemal by byť takýmto spôsobom degradovaný.",-1
1420,"V principe je bez týchto cvičenie ťažké prežit a určite je potrebný.Nezdá sa mi však vhodne ohodnotiť ho 2 kreditmi ,keď vezmeme do úvahy ,ze ide o cvičenia k asi najťažšiemu predmetu 3. semestra a preberaná latka nie je triviálna.Medzi zápory by som zaradil absolútne závislé hodnotenie od cviceni ,ktoré obsahuje Mat.analýza 3 samotná.V podstate sme písali jednu písomku na dva predmety.Vhodnejšie by možno bolo riešit hodnotenie 100 bodovým mixom (50 z povinných cvičení + 50 z rozcvičiek písaných na nepovinných cvičeniach)medzi pozitíva by som zaradil(až na pár výnimiek) plynulú výučbu a schopnosť odpovedať na otázky (aj keď niekedy to mohlo byt s miernejším tónom a výrazom v trávy)Do budúcnosti by som odporučil vacsiu ochotu co sa týka konzultácii a aby sa pred zápočtom preberala latka na zápočet",-1
1553,"Je to des. Tak krasny predmet takto znicit. Vobec to nebolo seriozne budovane. Stalo to na chabych zakladoch. Na cvikach to bolo hrozne pomale a neproduktivne zabity cas dokazovanim jednoduchych tvrdeni a rychlym preletenim vacsich. Vobec sme netusili z coho  a aka bude skuska(ci iba pisomka, ci iba z prikladov). Tento predmet si zasluzi aspon take postavenie ako analyza jednotka. Teda taku poctivost preciznost a serioznost.",-1
1454,"Dobry predmet, trocha matematiky sa mi k informatike hodi, dobre ako nahrada za predmet.",1
3047,super! :),1
1405,Tento predmet mi pomohol so zvládnutím cvík k prednáške :-),1
1193,Ide sa prirychlo.,-1
984,Veľmi veľa učiva...,-1
1830,"Veľmi zaujímavé, oplatí sa zapísať.",1
107,"Velmi zaujmave, velmi dobre odprednasane.",1
99,"Zaujimavy prstip. Prednasajucemu neslo o to aby len monotonne odprednasal latku, ale snazil sa zaujat studentov obsahom. Vdaka comu sa stal tento predmet oblubenym medzi studentmi",1
2590,"Extremne narocny predmet.  Temto preberania latky je tiez dost nadsadene, a je problem to vsetko zvladat aj pri vycleneni znacneho casu (Netreba zabudat ze priemerny student ma viac ako tento jeden predmet). Body sa stracaju na najmensich detailoch, a nie 1-2 z 10 ale kludne aj polovica... Este zahadnejsi je system pocitania terminov na skuske. To uz je fakt zabava...",-1
