,comment,class_label
1977,Lodky su fantasticke!,1
2175,"Snad mi to pomoze k statniciam, to bolo vsetko co som od toho ocakaval (myslim ze sa vyplatilo)",1
2456,"Dobrý predmet, keď sa človek chce zdokonaliť v Jave, určite si ho zapíšem aj budúci rok, ak teraz nestihnem urobiť cvičenia. Dobrý systém cvičení, páči sa mi voľnosť, neexistencia deadlinov, (všetky cviká do 30.5.2012) pán petrovič je ochotný kedykoľvek poradiť a celkom slušne vysvetľuje prednášky - nie na všetkých som bol, keďže sa mi to krížilo s iným predmetom, ktorý bol povinne voliteľný.",1
60,"S prehladnit a ucelit studijne materiali(viac  prikadov- kedze vacsinou boli a skuske). Obsah predmetu je nezaujimavi, aj ked prednasajuci robil co mohol aby nas zaujal.",-1
1069,Vyborne!,1
732,Blbosť. Vyškrtnúť z osnov. Po dlhom čase som sa musel bifliť algoritmy na riešenie úloh.,-1
2326,Zaujimavy predmet s profesionálnym profesorom s pomerne velkym rozsahom,1
2422,"predmet ako taky zaujmavy, ucili sme sa uzitocne veci.",1
241,Nejasne stanovené podmienky hodnotenia.,-1
277,"poprve: zda sa mi ze styri hodiny prednasok a dve hodiny cvik su strasne vela pre zacinajucich studentov, predmet sam o sebe je dost tazky, hlavne tie neskorsie veci. programovat ""hry"" moze byt pekne a zaujmave, a lazarus moze byt celkom fan uvod do objektoveho programovania, ale c# nie je o nic zlozitejsi, ale je to ovela pouzivanejsi jazyk ( plus nerobi 5MB execka) prednasky boli pre mna nezaujmave, boli pristupne na nete, co chvalim, ale ked aj programoval prednasajuci nieco ine, navyse, tak len kopiroval kod, alebo odpisoval z papiera, co je sice prakticke, ale moc som sa z toho nenaucil...nedalo by sa to nejak ozivit?",-1
2134,"Ohromny chaos na strankach tykajucich sa prac a aj na seminari. Ziadne jednotne pravidla, co treba spravit zavisi od kazdeho zadavatela zvlast :/",-1
344,Tento predmet je dobry ale ma vela uskali ktorymi by studenti mohli byt lepsie vedeni ... V prvom rade je problem nastavit si latku a to aby student vedel odhadnut svoje schopnosti (s tymto mam problem nemyslim si ze len ja ale viacero ludi) ... Je mi jasne ze vzhladom na to aka velka roznorodost moznych tem tu figuruje je tazke konzultacia konkretnych problemov ale niekedy to natahuje cas a clovek nestiha odovzdat vcas ... Prisnost hodnotenia predmetu este nepoznam lebo mi nie je znamy pocet bodov zatial ale podla mna by sa mohlo trosku benevolentnejsie pristupovat k penalizacii za neskore odovzdanie ...,-1
1830,"Veľmi zaujímavé, oplatí sa zapísať.",1
1919,"milujem aerobic bol super, len by som to este viac zamerala na ten tanec!",1
1780,Prilis akademicky az strnuly pristup,-1
2641,"Látka bola pre mňa vzhľadom na výklad dosť náročnáVzájomné vzťahy a komunikácia medzi učiteľmi bola mizerná. Mali by si to medzi sebou konečne vyriešiť sami a neprenášať vzájomné nesympatie na študentov. Numeriku sme preberali až na konci semestra, čo je od veci. Takisto sme s doc.Haverlíkom neprebrali kopec potrebných vecí, ktoré by sa nám zišli aj na analýze. Hodnotenie má každý svojské, a teda diametrálne odlišné, nehovoriac o netransparentnosti u doc.Haverlíka. Často sa vyžadovali veci, ktoré sme nemali odkiaľ vedieť, ak nám rodičia v detstve nečítali vysokoškolské skriptá na dobrú noc alebo nás neprihlásili do ""telepatického"" krúžku (vzájomné porozumenie s učiteľom bez potreby komunikácie). Práce z analýzy bolo za 5 kreditov dosť veľa (písomky, úlohy,...).Tie tri za časť doc.Haverlíka boli fajn.",-1
3177,Nechápem,-1
912,"Predmet ako taky ma potencial, kedze sa pomerne zrozumitelne a ilustrativne vysvetlia iste (na prvy pohlad nie jasne) mechanizmy zivych organizmov. Na druhej strane, predmetu by pomohol definovany sylabus spolu s doplnujucou literaturou k jednotlivym temam. V sucasnej podobe vystup predmetu skor zbierka poznatkov.Velky minus bolo predcasne ukoncovanie prednasky, ktora mala mat dva standartne 45minutove bloky, ale zvacsa koncila po hodine.",-1
1389,ucia sa tu dolezite veci pre dalsie predmety takze to vsetko treba vediet,1
390,"moj najobľúbenejší predmet, nemám čo dodať!",1
2803,"Prakticky predmet, zlepsuje pochopenie zakladnych pojmov.",1
649,Nejasný spôsob a forma hodnotenia. Neznáma stupnica. Chaotické prednášky. Nepríjemný a neúctivý prístup k študentom.,-1
2409,"(Podľa očakávania) oveľa viac vyhovujúce tempo ako pri Programku 1, tým pádom sa dalo lepšie venovať preberanému učivu.",1
2835,"Velmi zaujimava problematika, podla mna celkom dobre podana a zvladnuta. Kvalite predmetu by mohla pomoct trochu vacsia praca s experimentami ktore boli vykonavane, takisto aktivity ako bolo video na zaciatku boli velmi zaujimave, mohlo by ich byt viac.",1
2353,nepaci sa mi hodnotenie skusky... a zbytocne cvicenia...,-1
635,"Také vágne, také ... Obsah predmetu naučí človeka niečo o tvorbe štatistík, aj keď niekedy (alebo stále) kostrbaté vysvetľovanie, kde akokeby pochopenie látky šlo bokom a numerické výpočty šli do popredia.",-1
3075,5*,1
2601,"Cestovanie na inú fakultu je asi naväčšia nevýhoda. Mňa osobne látka moc nezaujala, ale určite sa bude v budúcnosti hodiť.",-1
1519,"Velmi pekny predmet, uz sa tesim na pokracovanie v letnom semestri.Prednasky boli v akuratnom tempe a pekne chromaticke. Naucili sme sa zaklady gimp-u, inkscape a blender-u.",1
2828,"Prednášajúca na začiatku tvrdila, že tento predmet nebude ťažký. Mýlila sa :D ale ako jedna z mála si uvedomila, že keď nás nebude týrať, tak dosiahne to čo chce. Naučila nás to, čo je podstatné a nevyžívala sa v detailoch, ktoré sa dajú dotiahnuť osobitne. Hodnotenie tohto predmetu by si mohli za vzor zobrať Finančné deriváty, kde to bolo dosť nespravodlivé.",1
249,parada,1
