,comment,class_label
454,"Predmet bol fajn, zaujimavy, akurat bolo malo prilezitosti ziskat body za prezentacie.",1
3134,Great.,1
521,"Bolo by dobré, keby sa zadávali témy prác pred letnými prázdninami. Tento semester bol dosť náročný, takže sme nemali  čas pracovať na bakalárkach.",0
2846,Na začiatku semestra vynechať trochu s počtu hodín venovaným OS Linuxu a práci s jeho konzolou.,0
1401,"Predmet bol narocny, ale bez dobrovolnych cviceni z algebry by bol podla mna kazdy student este viac zmateny, nepochopil by uplne prebranu temu.",-1
841,"Zaujímavý, konceptuálne náročný predmet. Objavuje sa tu všeličo z iných predmetov. Najskôr sa preberie záver a zvyšok semestra sa študenti k tomu dopracovávajú. Predmet nie je rozdelený na prednášky a cvičenia. Na hodinách však musia študenti veľa pracovať, často treba niečo odvodiť overiť alebo vypočitať príklad a tiež sa diskutuje. Tento spôsob učenia považujem za účinný - z prednášok som odchádzal s tým, že som sa niečo nové naučil a rozumiem tomu. K dispozícii sú skriptá, ktoré pomôžu vyjasniť prípadné nezrovnalosti a pri učení sa na skúšku.",1
1730,"Pravidla na praktickych cviceniach sa stale menili. Najprv boli cvicenia povinne, zrazu boli dobrovolne, niekolkokrat sa menil system odovzdavania uloh, nakoniec ani ten povinny projekt nebol uz povinny, ked som ho zacal kodit. Prakticke cvicenia su strata casu, urcene pre ludi co ""kodia"" stylom opisem to z tabule. Clovek co vie programovat (co by 4taci mali vediet vsetci) to zvladne v pohode aj bez nich.",-1
2017,"Zaujimavy predmet,dobre prednasany, kvalitne skripta, no chybaju mu cvicenia.",0
575,"Je to trochu iný pohľad na diferenciálne a diferenčné rovnice. Koho táto oblasť zaujímala, tak odporúčam aj tento predmet.",1
518,"Mila prednasajuca, interaktivne hodiny. Za tak malo casu celkom dobre oboznamenie sa s tymto jazykom.",1
126,prednasky aj cvicenia brane tak s humorom,0
1719,"Prvy problem nastal takmer okamzite, ked sa na zaciatku menili pravidla. Po dovysvetlovani podmienok sa ustalili a (az na praktocke cvicenia) nemenili. Nastastie ak sa najde nieco, comu nepochopite na prednaske, na cviceniach vam to ochotne vysvetlia. Hlavnym problemom tohto predmetu je extremna casova narocnost vzhladom na pocet kreditov. Z pociatku boli pivinne 2*2h cvicenia tyzdenne + prednaska, pricom cvicenia museli byt so 100% ucastou. Tiez nepotesi ze okrem midtermu a final testu, ide student este na jednu pisomnu a ustnu cast....",-1
1845,"hodiny sami o sebe boli celkom mile a prijemne, ale chcelo by to nejake vstupne testy na roztriedenie do skupin narocnosti, kedze sa to neda prilis odhadnut a kazda skupina narocnosti je pozliepana aj z tych ktori si vybrali skupinu tak aby sa nieco naucili a aj z tych ktori jazyk uz davno ovladaju a chcu iba kredity alebo take relaxacne priebezne opakovanie jazyka. a narocnost sa spravidla prisposobuje tym lepsim, co robi problem tym slabsim.",0
910,"Prednášky pôsobili nepripravene a chaoticky. Veľká časť prednášok bola venovaná histórii, a teda som mala problém sledovať, čo je správne vysvetlenie problému a čo je vysvetlenie, o ktorom si ľudia v minulosti mysleli, že je správne. Vzorce neboli odvodzované a nerozumela som, ktorá veličina čo predstavuje. Na otázky odpovedal vyučujúci zväčša vyhýbavo. Nepáčilo sa mi hodnotenie predmetu, test vyžadoval len pamätanie si rôznych konštánt, vôbec neodzkadľoval to, či učivu rozumieme.",-1
529,Príliš veľa suchej teórie. Cvičenia pri počítači mi dali viac ako všetky prednášky dohromady.,-1
3000,skvelé,1
1420,"V principe je bez týchto cvičenie ťažké prežit a určite je potrebný.Nezdá sa mi však vhodne ohodnotiť ho 2 kreditmi ,keď vezmeme do úvahy ,ze ide o cvičenia k asi najťažšiemu predmetu 3. semestra a preberaná latka nie je triviálna.Medzi zápory by som zaradil absolútne závislé hodnotenie od cviceni ,ktoré obsahuje Mat.analýza 3 samotná.V podstate sme písali jednu písomku na dva predmety.Vhodnejšie by možno bolo riešit hodnotenie 100 bodovým mixom (50 z povinných cvičení + 50 z rozcvičiek písaných na nepovinných cvičeniach)medzi pozitíva by som zaradil(až na pár výnimiek) plynulú výučbu a schopnosť odpovedať na otázky (aj keď niekedy to mohlo byt s miernejším tónom a výrazom v trávy)Do budúcnosti by som odporučil vacsiu ochotu co sa týka konzultácii a aby sa pred zápočtom preberala latka na zápočet",-1
2966,Veľmi zaujímavý a bezproblémovo zvládnuteľný predmet.,1
2655,"Som rada, ze uz mam tento predmet spraveny.",1
1972,"Zo všetkých telesných, ktoré som vystriedal, som si odniesol len málo vedomostí z techniky a základnej stratégie hry. Jedine na volejbale (a lodičkách - tie boli fajn) sa učí nejaká technika a stratégia. Toto je veľká škoda.",0
2592,"Bol to tazky predmet, ale zvladnutelny. Ak clovek chcel, dalo sa to naucit. Lenze 4 kredity su za toto naozaj dost malo. Ma to sice len 3hodinovu prednasku a cvika su nepovinne, ale bez toho, aby clovek chodil na cvika, ma dost malu sancu, aby predmet spravil. Plus samozrejme treba stravit riadnu kopku casu, kym clovek tomu ucivu pochopi - kludne tomu dajte aspon tych 5 kreditov, to by bol ovela realnejsi odhad.Inak myslim, ze prva polovica tohto predmetu, kde sa brali algoritmy (greedy, dynamicke programovanie a pod) mala celkom zmysel, ale ku koncu semestra mi to uz pripadalo take...pre aplikovanu informatiku dost zbytocne.",0
1726,"Velmi dobry predmet, ale kreditne nie spravne ohodnoteny. Predmet mal 2 cvicenia kde bola povinna 100%-na ucast na teoretickych cviceniach a do polky semestra aj na praktickych, co sa potom zmenilo. Na teoreticke cvicenia sme riesili domace ulohy, rozcvicky, polsemestralnu pisomku a koncosemestralnu pisomku. Co bolo myslim dost. Popri tom sme museli kazdy tyzden odovzdavat domacu ulohu na prakticke cvicenia. O pravidlach praktickych cviceni ani pisat nebudem, pretoze sa pocas semestra niekolko krat menili (10? aj viac) bez upozornenia, iba zmenili na stranke, teda odporucam kontrolovat stranku kazdy den. Vzhladom na mnozstvo prace, ktoru tento predmet pozadoval by som prehodnotil, ci je spravne za tento predmet davat 5 kreditov!",0
639,"Jedine co sa mi nepaci,ze ulohy na vypracovanie sa posielaju dost neskoro ku koncu semestra,ked je najviac zapoctov a frmol na ine povinne predmety..samotne vypracovanie uloh zabera dost casu,takze zadania s domacimi ulohami by sa mohli posielat trosku v predstihu",-1
329,"Mam pocit, ze tento predmet je trocha zbytocny. Robit prezentacie o ludoch z katedry kvoli vyberu diplomovky sice nie je zly napad, ale tym, ze na zaciatku semestra boli zorganizovane na fakulte prezentacie z oblasti grafiky aj umelej inteligencie, kde sa prezentovali ludia a ponukane temy, tak toto uz asi nemalo velky zmysel.",-1
