,comment,class_label
1588,"Neviem dobre na co su nam vsetky tie veci ohladom metriky a tiez aj ta tvorba modelov sekvencneho problemu mi prisla v praxi nevyuzitelna. Akoby sme sa ucili naku matematicku teoriu, ktora sa v praxi neuplatnuje a zbytocne vela metrickych priestorov a viet, ktore zabudnem a nikdy nevyuzijem",-1
768,"Zaujímavý predmet, veľa štátnicových otázok sa na tomto predmete rozoberá",1
414,Najlepsi predmet v tomto semestri.,1
2394,"p.p Tomcsanyi by mohol trosku popracovat na svojich PDF-kách ktorých je pomerne dost a chcelo by to použit aj tučné písmo na zvýraznenie doležitých vecí pretože je to všetko nahadzane na kope a nikto sa v tom nevyzna, bez pouzitia zvyraznovacky by som bol pri uceni sa totalne strateny pretoze ucit sa to z PC to proste nejde musel som si to vsetko vytlacit a pozvyraznovat pretoze som sa v tom absolutne nevyznal takze preto to popracovanie na tych PDFkach v klude aj daku inu farbu na zvyraznenie pretoze je fakt nabachane do jedneho celku",0
2434,"Obsah predmetu je velmi dobre vyuzitelny v ""programovacej praxy"".Co si ale nemozem odpustit je, ze mi pride hodnotenie velmi, ale velmi demotivujuce. 0 Bodov za dobre vykonanu pracu a minusove body za chyby... ja si uvedomujem ze je to uplne to site ako opacna skala, ale vzhladom na to ze cca 18 rokov sme nauceny na uplne ine hodnotenie... proste demotivujuce a deprimujuce. Ulohy by som tiez nenazval lahkymi... hlavnie tie ktore boli zadavane p. Petrovicom (samozrejme nic v zlom, ale vzdy mi trvalo dost dlho kym som pochopil co sa odo mna ziada).",-1
1530,"Predmet programovanie beriem ako dôvod na vyhadzovanie študentov, respektíve úplné znechutenie študovanie matematiky v prvom ročníku.",-1
2320,"Co sa tyka stanovenia poziadaviek tak tie boli na zaciatku len tak povedane ze ake priblizne budu ale realne sa k nim clovek dopracoval az pocas semestra, ale to v podstate ani tak nevadilo lebo bol tym padom clovek hnany dopredu aby pracoval a snazil sa takze to neberem ako negativum predmetu. Celkovo je to predmet zaujimavy a clovek sa nauci zaklady PL/SQL a taktiez sa zdokonali v samotnom SQL (teda aspon ja).",0
2603,"2 kredity zadarmo, inak maximalne zbytocny predmet.",-1
2882,Dobre pripravene slidy. Predmet tento semester neprednasal P. Veis ale M. Janda. K jeho prezentacnym schopnostiam: mal by hovorit o nieco pomalsie :),0
1102,"Skvelý predmet, ktorý je taký doplňovací predmet k Mechanike (ale v podstate aj k Molekulovej F a trochu zasahuje aj do Matematiky), na ktorom sa vysvetľujú postupy na Mechanike. Veľmi užitočný predmet, bez ktorého by boli výpočty na Mechanike a Molekulovke  tak do troch štvrtín semestra úplne nepochopiteľné.",1
2352,"Cvicenia v podstate nemaju zmysel, su cele zavesene na internete, to co sa na mieste moze clovek spytat vacsinou rychlejsie vygoogli.",-1
2840,"Hodnotim po absolvovani 2 laboratornych prac z 3. Laboratorne prace v tejto forme boli nezaujimave, nepoucne a podla mna nie dostatocne pripravene. Predmet by teda nemal byt povinny alebo radsej - malo by sa dopredu premysliet, co sa na labaku bude diat. Mysou klikat som sa naucil uz skor.",-1
