,comment,class_label
2352,"Cvicenia v podstate nemaju zmysel, su cele zavesene na internete, to co sa na mieste moze clovek spytat vacsinou rychlejsie vygoogli.",-1
2137,"nie velmi uzitocny predmet. cielom je prinutit studentov pracovat na bakalarke. pre samotneho studenta je dolezita akurat ucast na 2 hodinach, kedy rozprava o svojej teme. zvysnych 8-9 hodin len pocuva ostatnych",-1
426,"Predmet bol pre mna tazky, ale zaroven zaujimavy (obsahom). Na DU bolo prilis vela prace (urcite nie 150% casu prednasky, do tyzdna som tomu bezne venoval okolo 10 hodin, co je na jeden predmet strasne vela). Tiez ma demotivovala:> neochota cviciacich s niecim poradit, > pomerne neskory termin opravy du (odovzdaval som (i+3)tiu du a stale som nemal spatnu vazbu z i-tej du, takze som kludne mohol opakovat svoje chyby) a >  chyby v prednaskach (na vacsinu z nich som prisiel len vdaka knihe od Hromkovica)a domacich ulohachPredmet by bol lahsi, keby bol vacsi priestor komunikovat s cviciacimi a keby mali vacsi zaujem, pretoze nejasnych veci pocas semestra bolo dost a bolo potrebne to s niekym komunikovat.",-1
1664,"Difernciálne rovnice sú zaujímavé, ale na tomto predmete bola prezentovaná len teória. Nehovorím, že teória nie je dôležitá, ale naozaj potrebujeme toľko viet a dôkazov? Chýbali mi ukážky reálneho využitia diferenciálnych rovníc, napríklad pri výpočte finančných derivátov. Možno by to u študentov vzbudilo väčší záujem o problematiku a aj o tú teóriu.",-1
2637,"Čakal som možno trochu viac, ale celkový dojem z predmetu je uspokojivý. Teším sa na druhú časť!",1
732,Blbosť. Vyškrtnúť z osnov. Po dlhom čase som sa musel bifliť algoritmy na riešenie úloh.,-1
1353,Náročnosť skúšky nie je zrovna najnižšia...,-1
2306,"Poziadavky upresnene az na konci semestra. Cca do polky semestra velky chaos na cviceniach. Jedine prednasajuci podaval skvely vykon na prednaskach a aj latka bola zaujimava. Skoda,ze to tie cvicenia pokazili.",-1
731,"Prednasky boli zaujimave, pomohla by ale ich elektronicka forma. Skoda ze az na par bonusov je hodnotenie 0/100.",-1
2803,"Prakticky predmet, zlepsuje pochopenie zakladnych pojmov.",1
42,"Matematika ako taka je podla mna dost zbytocny predmet, co potvrdil aj zakladatel Wolphramu alpha na svojej prezentacii, kedze v dnesnej dobe trva vyratat jeden priklad cloveku mnohonasobne dlhsie ako stroju, kde zadam parametre a dostanem vysledok.",-1
1861,"Myslim, ze je to velmi dobre nastavene - poziadavky su take, ze nieco sa naucit musime, ale zaroven nas to neoberalo o privela casu. Pre matfyzakov perfektne.",1
2757,"podla mna aj ked mozno nie velmi exaktne veci, ale zaujimave",1
